Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: IF-4A, Mata Kuliah: Sistem Operasi, Dosen: Adhi Rizal, Ruang: L3 Lab Dasar 2 [IF]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: IF-6A, Mata Kuliah: Pengolahan Citra Digital, Dosen: Chaerur Rozikin, Ruang: L3 Lab Lanjut 1 [IF]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: SI-2B, Mata Kuliah: Manajemen dan Organisasi, Dosen: Aziz, Ruang: L3 Lab Lanjut 2 [SI]
Jadwal hari SELASA SESI 3 (12.30-14.10), Kelas: SI-2A, Mata Kuliah: Manajemen dan Organisasi, Dosen: Aziz, Ruang: L3 Lab Lanjut 2 [SI]
Jadwal hari SELASA SESI 4 (15.00-17.30), Kelas: SI-2B, Mata Kuliah: Bahasa Inggris, Dosen: Belum ditentukan, Ruang: L4 R.75 [SI]
Jadwal hari SELASA SESI 4 (15.00-17.30), Kelas: SI-6A, Mata Kuliah: IIMK, Dosen: Apriade, Ruang: L4 R.76 [SI]
Jadwal hari SELASA SESI 4 (15.00-17.30), Kelas: SI-4D, Mata Kuliah: Keamanan Sistem Informasi, Dosen: Nono, Ruang: L4 R.78 [SI]
Jadwal hari SELASA SESI 4 (15.00-17.30), Kelas: IF-4D, Mata Kuliah: Embedded Intelligent Systems, Dosen: Susilawati, Ruang: L4 R.79 [IF]
Jadwal hari SELASA SESI 4 (15.00-17.30), Kelas: IF-6PIL B, Mata Kuliah: Business Intelligence, Dosen: Aji Primajaya, Ruang: L4 R.80 [IF]
Jadwal hari SELASA SESI 4 (15.00-17.30), Kelas: IF-4C, Mata Kuliah: Pemrograman Berbasis Web, Dosen: Kamal Prihandani, Ruang: L3 Lab Dasar 1 [IF]
Jadwal hari SELASA SESI 4 (15.00-17.30), Kelas: SI-4B, Mata Kuliah: Financial Technology, Dosen: Ade Andri, Ruang: L3 Lab Dasar 2 [SI]
Jadwal hari SELASA SESI 4 (15.00-17.30), Kelas: SI-6C, Mata Kuliah: Komputasi Awan, Dosen: Arip, Ruang: L3 Lab Lanjut 1 [SI]
Jadwal hari SELASA SESI 4 (15.00-17.30), Kelas: SI-2A, Mata Kuliah: Kewarganegaraan, Dosen: Belum ditentukan, Ruang: L3 Lab Lanjut 2 [SI]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: IF-2C, Mata Kuliah: Budaya Bangsa, Dosen: Dr. Dede Jajang Suyaman, Ruang: L4 R.75 [IF]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: IF-2A, Mata Kuliah: Struktur Data, Dosen: Asep Jamaludin, Ruang: L4 R.76 [IF]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: SI-4D, Mata Kuliah: Financial Technology, Dosen: Ade Andri, Ruang: L4 R.77 [SI]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: IF-6PIL, Mata Kuliah: Network Management, Dosen: Arip Solehudin, Ruang: L4 R.78 [IF]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: IF-4C, Mata Kuliah: Kecerdasan Buatan, Dosen: Yuyun Umaidah, Ruang: L4 R.79 [IF]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: SI-4B, Mata Kuliah: MLTI, Dosen: Bagja, Ruang: L4 R.80 [SI]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: SI-2A, Mata Kuliah: Statistik, Dosen: Mohamad Jajuli, Ruang: L3 Lab Dasar 1 [SI]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: SI-6PIL, Mata Kuliah: Web Service Application, Dosen: Purwantoro, Ruang: L3 Lab Dasar 2 [SI]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: IF-4A, Mata Kuliah: Pemrograman Berbasis Web, Dosen: Kamal Prihandani, Ruang: L3 Lab Lanjut 1 [IF]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: SI-2A, Mata Kuliah: Kepemimpinan, Dosen: Nina, Ruang: L3 Lab Lanjut 2 [SI]
Jadwal hari RABU SESI 1 (07.30-09.10), Kelas: SI-2B, Mata Kuliah: Bahasa Indonesia, Dosen: Belum ditentukan, Ruang: L4 R.75 [SI]
Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: IF-6C, Mata Kuliah: Manajemen Proyek Perangkat Lunak, Dosen: Rini Mayasari, Ruang: L4 R.76 [IF]
Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: IF-6B, Mata Kuliah: Software Design Pattern, Dosen: Carudin, Ruang: L4 R.77 [IF]
Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: IF-4E, Mata Kuliah: Rekayasa Perangkat Lunak, Dosen: Jajam Haerul Jaman, Ruang: L4 R.78 [IF]
Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: IF-6F, Mata Kuliah: Software Design Pattern, Dosen: Aji Primajaya, Ruang: L4 R.79 [IF]
Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: IF-6E, Mata Kuliah: Metodologi Penelitian, Dosen: Betha Nurina Sari, Ruang: L4 R.80 [IF]
Jadwal hari RABU SESI 2 (10.00-12.30), Kelas: IF-4F, Mata Kuliah: Kecerdasan Buatan, Dosen: Ratna Mufidah, Ruang: L3 Lab Dasar 1 [IF]
